Year,Date,Bed,Bath,Sqft,price,Address
2017,01-Apr-17,5,4,1804,1538000,7788 Prince Albert Street
2017,03-Feb-17,5,3,2269,2588000,2787 W 32nd Avenue
2017,03-Feb-17,5,2,1710,1188000,4968 Ruby Street
2017,19-May-17,5,4,2559,1749000,3345 Turner Street
2017,01-Feb-17,5,5,2808,2698000,978 W 20th Avenue
2017,01-Feb-17,5,6,3796,5988800,1949 W 37th Avenue
2017,16-Jul-17,5,7,4200,6888000,3857 West 31st Avenue
2017,16-Jul-17,5,2,2100,2490000,3070 West 12th Avenue
2017,16-Jul-17,5,6,4523,5488000,1431 West 58th Avenue
2017,01-Apr-17,6,2,2034,1528000,5848 Culloden Street
2017,01-Apr-17,6,5,3683,3550000,3680 13th Avenue W
2017,01-Apr-17,6,3,2547,1579000,840 12th Avenue E
2017,05-Jun-17,6,4,3059,3590000,3282 W 33RD AVENUE
2017,05-Jun-17,6,5,3757,3688000,3575 W 26TH AVENUE
2017,01-Feb-17,6,7,5232,7999000,1343 Devonshire Crescent
2017,01-Feb-17,6,7,4795,4990000,5337 Larch Street
2017,01-Feb-17,6,3,3570,2598000,2341 E 40th Avenue
2017,17-Mar-17,6,8,5452,12688000,2962 Park Lane
2017,03-Feb-17,6,5,5161,4388000,2826 W 49th Avenue
2017,01-Apr-17,7,8,4327,5188000,1553 61st Avenue W
2017,11-Jan-17,7,4,3084,1750000,4560 Boundary Road
2017,12-May-17,7,3,4288,4588000,4687 West 4th Avenue
2017,17-Mar-17,7,8,7931,13880000,675 Eyremount Drive
2017,03-Feb-17,7,4,3000,1768000,1476 E 54th Avenue
2017,19-May-17,7,3,2930,2888000,3135 W 13th Avenue
2017,26-Sep-17,7,8,6005,6980000,6246 Mackenzie Street
2017,26-Sep-17,7,7,3419,2688000,6612 Gladstone Street
2017,12-May-17,7,3,4288,4588000,4687 West 4th Avenue
2017,07-Mar-17,7,6,2000,2188000,1130 -1132 E 33rd Avenue
2018,21-Jun-18,2,2,1233,1398000,3258 TUPPER STREET
2018,23-Oct-18,2,3,1620,1250000,242 Waterleigh Drive
2018,23-Oct-18,2,3,1635,1268000,248 W 59th Avenue 
2018,27-Oct-18,2,2,2726,2750000,692 W 29th Avenue
2018,16-Dec-18,2,3,1208,1189000,308 1st Avenue West
2018,27-Oct-18,2,3,1067,1249000,108-2688 Vine Street
2018,23-Oct-18,2,1,913,799900,317-3150 4th Avenue W
2018,23-Oct-18,2,3,1379,2350000,3248 Granville Street
2018,01-Jun-18,2,1,995,875000,1245 E KING EDWARD Avenue
2018,01-Jun-18,2,2,1800,1126000,2520 TURNER Street 
2018,06-Feb-18,3,3,2359,2888000,4147 W 11TH AVENUE
2018,13-Feb-18,3,2,1566,4900000,5925 Dunbar Street
2018,13-Feb-18,3,3,1594,1699000,220 E 16th Avenue
2018,21-Jun-18,3,2,2337,2880000,2854 West 38th Avenue
2018,04-Sep-18,3,1,1600,1350000,1559 E  41st Avenue 
2018,04-Sep-18,3,4,1782,1998000,340 West 62 Avenue 
2018,23-Oct-18,3,2,1503,1299900,3046 Charles Street
2018,27-Oct-18,3,1,1288,1498000,2833 W 18th Avenue
2018,04-Sep-18,3,3,1617,1788800,7458 Granville Street
2018,04-Sep-18,3,3,1994,1998000,1312 Maple Street
2018,06-Feb-18,4,3,2028,1958000,73 East 40th Avenue
2018,06-Feb-18,4,4,2463,1599000,524 E 12TH AVENUE
2018,13-Feb-18,4,3,1606,1039000,1308 E 13th Avenue
2018,13-Feb-18,4,6,5950,9500000,6088 Newton Wynd
2018,21-Jun-18,4,4,4702,8798000,5237 Angus Drive
2018,21-Jun-18,4,4,2375,3398000,4577 West 14th Avenue
2018,21-Jun-18,4,3,2264,2498000,2947 West 43rd Avenue
2018,12-Aug-18,4,4,2820,3498000,661 W 21st Avenue
2018,12-Aug-18,4,3,2028,1958000,73 E 40th Avenue
2018,04-Sep-18,4,2,2568,3480000,7491 Laburnum Street
2018,06-Feb-18,5,3,2253,2550000,4586 W 8TH AVENUE
2018,06-Feb-18,5,6,3278,4188000,3189 Crown Street
2018,06-Feb-18,5,2,1869,3799900,2256 W 18TH AVENUE
2018,13-Feb-18,5,3,2171,2289000,1928 Stephens Street
2018,22-Jan-18,5,2,2777,1868000,3737 Calder Avenue
2018,21-Jun-18,5,5,4314,3988000,3587 West 32nd Avenue
2018,12-Aug-18,5,4,3227,4188000,4695 W 9th Avenue
2018,12-Aug-18,5,3,2013,2398000,2681 Duke Street
2018,04-Sep-18,5,2,2120,1598000,1896 East 40th Avenue 
2018,04-Sep-18,5,6,5820,7780000,3287 West 48th Avenue 
2018,06-Feb-18,6,2,2596,1848000,2771 E 45TH AVENUE
2018,06-Feb-18,6,2,2068,1568000,2248 Upland Drive
2018,06-Feb-18,6,5,5180,6988000,3939 W 34TH AVENUE
2018,13-Feb-18,6,5,3892,2588000,7558 Gladstone Street
2018,13-Feb-18,6,4,2667,1858000,539 E 7 Avenue
2018,21-Jun-18,6,4,3495,3588000,3515 West 43rd Avenue
2018,04-Sep-18,6,3,3822,3523000,3662  West 49th Avenue
2018,04-Sep-18,6,5,3489,3588000,4863 Osler Street
2018,23-Oct-18,6,2,2062,3000000,2274 Mclean Drive
2018,16-Dec-18,6,4,2814,2680000,2130 47th Avenue W
2018,13-Feb-18,7,7,3342,2198000,3101 E 46 Avenue
2018,12-Aug-18,7,4,2902,1698000,1970 E 34TH AVENUE
2018,04-Sep-18,7,2,2074,1459900,3551 Welwyn Street
2018,27-Oct-18,7,4,4098,2838000,6206 Butler Street
2018,16-Dec-18,7,5,5793,9980000,5588 Churchill Street
2018,25-Aug-18,7,6,3178,2290000,3233 E 2ND AVENUE
2018,13-Feb-18,7,7,5083,5399000,1855 W 43rd Avenue
2018,30-Sep-18,7,3,1811,1888000,975 E 41st Avenue
2018,05-Sep-18,7,2,3423,1299000,4152 Penticton Street
