Year,Bed,Bath,Sqft,price
2019,4,4,2285,1638000
2019,4,4,3643,5499000
2019,4,2,1953,1258000
2019,4,4,2117,2099900
2019,4,4,2400,2298000
2019,4,4,4210,5750000
2019,4,5,3750,3978000
2019,4,4,2403,1750000
2019,4,3,2609,1849900
2019,5,6,4603,4680800
2019,5,7,4309,4888000
2019,5,6,5766,11775000
2019,5,5,2152,1629000
2019,5,4,2334,2688000
2019,5,5,2850,2860000
2019,5,2,2776,3890000
2019,5,5,3659,3680000
2019,5,4,3163,3980000
2019,5,2,1648,1599900
2019,6,6,4065,4498000
2019,6,7,4639,8380000
2019,6,5,4688,7790000
2019,6,7,2598,2795000
2019,6,6,3844,2799000
2019,6,6,6587,6980000
2019,6,3,2628,1599000
2019,6,5,3841,2980000
2019,6,7,6102,9980000
2019,6,4,2200,1488000
2019,7,8,4985,2888888
2019,7,5,3150,3780000
2019,7,7,4647,4880000
2019,7,4,3993,8400000
2019,7,6,4333,5538000
2019,7,7,3342,2198000
2019,7,4,2475,1675000
2019,7,2,1886,1380000
2019,7,8,3199,2238800
2019,7,4,2149,1848000
2020,2,3,1466,679000
2020,2,2,857,659000
2020,2,2,866,899000
2020,2,1,865,799000
2020,2,2,1762,1498000
2020,2,3,1501,2200000
2020,2,2,1409,1998900
2020,2,1,785,465000
2020,2,3,1042,1028000
2020,2,2,1933,1749000
2020,3,3,2146,1286000
2020,3,3,1766,1638000
2020,3,3,2625,2298000
2020,3,4,4370,2498900
2020,3,3,1672,1798000
2020,3,3,1677,1798000
2020,3,1,1402,2789000
2020,3,1,1938,2500000
2020,3,4,2288,1688000
2020,3,1,832,1488888
2020,4,2,2503,1599000
2020,4,4,1676,1348000
2020,4,3,2697,1495000
2020,4,3,2419,1550000
2020,4,4,3435,2999000
2020,4,1,1631,1199000
2020,4,2,1577,1495000
2020,4,5,4384,3398000
2020,4,3,2836,2450000
2020,4,4,2300,4000000
2020,5,4,2421,2199000
2020,5,3,2343,1428000
2020,5,6,4367,4698000
2020,5,2,1847,1298000
2020,5,4,2745,1698000
2020,5,5,2820,3998000
2020,5,4,1860,1499000
2020,5,8,7337,14800000
2020,5,6,4134,3500000
2020,5,4,3508,3598000
2020,6,8,4707,7999800
2020,6,3,2951,1749000
2020,6,5,3282,3680000
2020,6,3,2272,1990000
2020,6,3,2196,2398000
2020,6,3,2150,1790000
2020,6,7,4020,4680000
2020,6,2,2449,1499000
2020,6,6,4014,3750000
2020,6,8,6688,7580000
2020,7,7,3278,2398000
2020,7,4,2966,2099000
2020,7,6,3366,3380000
2020,7,8,3447,2148000
2020,7,3,2730,2788888
2020,7,5,3785,2999800
2020,7,6,4528,5380000
2020,7,8,3365,2195000
2020,7,6,4333,4698000
2020,7,3,2952,2830000
2021,2,2,1011,1575000
2021,2,1,869,849900
2021,2,3,928,558000
2021,2,2,1297,920000
2021,2,3,1363,1239900
2021,2,1,2387,1999900
2021,2,1,1204,1998000
2021,2,1,800,1298000
2021,2,2,1820,2680000
2021,2,3,1333,2199000
2021,3,2,2145,2880000
2021,3,4,2160,2998000
2021,3,3,1109,958000
2021,3,3,1267,1688000
2021,3,2,1789,1588000
2021,3,2,3632,3380000
2021,3,3,2126,4188000
2021,3,2,1626,2250000
2021,3,3,1406,1749900
2021,3,2,1775,800000
2021,4,2,2038,2690000
2021,4,7,5533,9999000
2021,4,1,2836,2499000
2021,4,4,1657,1398000
2021,4,2,2100,2999990
2021,4,4,2922,3680000
2021,4,4,2988,2649900
2021,4,4,1935,1699000
2021,4,4,3462,3098000
2021,4,2,1594,1699000
2021,5,6,3379,4888000
2021,5,3,2249,1799000
2021,5,3,2890,1699000
2021,5,4,3375,3880000
2021,5,7,3845,3990000
2021,5,5,9282,6890000
2021,5,2,2234,1799000
2021,5,4,2216,2098000
2021,5,3,3064,1399000
2021,5,7,4925,6538000
2021,6,3,2272,1398000
