Year,Date,Bed,Bath,Sqft,price,Address
2015,02-Mar-15,2,2,828,508800,#104 1818 West 6th Avenue
2015,03-Mar-15,2,2,1264,788000,#704 5657 HAMPTON Place
2015,03-Apr-15,2,2,949,649000,#110 2455 YORK Avenue
2015,17-Apr-15,2,2,1173,598000,#313 2101 Mcmullen Avenue
2015,17-Apr-15,2,2,1238,1368800,#1903 8 Smithe Mews
2015,04-May-15,2,3,1284,1388000,#PH3 2128 West 40TH Avenue
2015,12-May-15,2,2,1010,525000,#301 1689 East 13th Avenue
2015,12-May-15,2,2,1376,575000,#206 1477 Fountain Way
2015,06-Aug-15,2,2,1957,1585000,#2303 1415 West Georgia Street
2015,06-Aug-15,2,2,825,379000,#306 405 Skeena Street
2015,07-Sep-15,2,2,1039,598000,#208 5723 Collingwood Street
2015,07-Sep-15,2,2,1071,949000,#209 2468 Bayswater Street
2015,09-Sep-15,2,2,918,519000,#602 689 ABBOTT Street
2015,15-Nov-15,2,3,1635,2388000,#301 2968 Birch Street
2015,04-Feb-15,2,1,791,454900,#408 231 East Pender Street
2015,04-Feb-15,2,2,953,798880,#215 4885 Valley Drive
2015,04-Feb-15,2,2,945,539000,#205 228 East 18th Avenue
2015,04-Feb-15,2,2,1152,1177700,#216 4685 Valley Drive
2015,18-Mar-15,2,1,936,459900,#201 1234 Pendrell Street
2015,24-Mar-15,2,2,1378,875000,#8 6063 lona Drive
2015,24-Mar-15,2,2,1214,558800,#50 1425 Lamey's Mill Road
2015,24-Mar-15,2,3,2400,5480000,#902 1139 West Cordova Street
2015,27-Apr-15,2,2,968,399800,#2001 1028 Barclay Street
2015,27-Apr-15,2,2,1055,748000,#103 2626 Fir Street
2015,01-Jan-15,3,3,2081,2050000,#900 9 SMITHE MEWS
2015,06-Feb-15,3,3,1519,1298000,#2202 837 West Hastings Street
2015,06-Feb-15,3,3,1774,3125000,#4201 499 Pacific Street
2015,06-Feb-15,3,4,2059,3550000,#3001 788 Richards Street
